Case_ID,Term,Case_Name,Petitioner,Hearing_Date,Issue_Area,Decision_Type,Direction,Majority_Votes,Minority_Votes,Chief_Justice,Case_Status,Courtroom,Duration_Days,Victim  Count,State,District,outlier_flag,Hearing_Date_year,Hearing_Date_month,Hearing_Date_day
19,2017,7,2,2015-01-20,4,0,0,5,1,5,1,19.0,13.0,5.0,5,35,1,2015,1,20
20,2010,7,2,2015-01-21,3,1,0,6,3,2,2,11.0,17.0,0.0,3,26,1,2015,1,21
21,2018,5,1,2015-01-22,2,1,1,6,2,3,0,15.0,11.0,0.0,1,1,1,2015,1,22
22,2000,3,4,2015-01-01,4,1,0,5,1,2,0,12.0,21.0,11.0,1,42,1,2015,1,1
23,2015,1,0,2015-01-24,4,0,1,9,1,2,2,3.0,39.0,14.0,4,47,1,2015,1,24
24,2003,1,3,2015-01-25,1,0,0,8,4,3,1,17.0,3.0,16.0,7,30,1,2015,1,25
25,2003,1,5,2015-01-26,3,3,0,6,3,5,1,3.0,11.0,11.0,0,8,1,2015,1,26
26,2005,5,3,2015-01-27,0,1,1,6,0,2,1,19.0,22.0,5.0,6,46,1,2015,1,27
27,2016,2,7,2015-01-28,4,1,0,7,1,4,2,4.0,19.0,9.0,9,17,1,2015,1,28
28,2008,7,5,2015-01-29,3,3,1,5,3,5,1,3.0,29.0,6.0,4,47,1,2015,1,29
29,2014,6,1,2015-01-30,1,0,1,5,1,0,2,16.0,32.0,16.0,0,15,1,2015,1,30
30,2003,0,0,2015-01-31,2,1,1,6,1,3,2,12.0,23.0,4.0,1,1,1,2015,1,31
31,2018,1,1,2015-02-01,0,1,1,8,3,3,0,8.0,26.0,7.0,9,25,1,2015,2,1
32,1996,2,6,2015-02-02,2,1,1,6,4,2,1,17.0,17.0,15.0,0,8,1,2015,2,2
33,2021,1,0,2015-02-03,0,0,0,5,3,5,2,7.0,25.0,1.0,4,16,1,2015,2,3
34,2024,0,3,2015-02-04,4,2,1,8,0,1,1,11.0,22.0,19.0,0,8,1,2015,2,4
35,1998,7,2,2015-01-01,4,3,0,5,2,3,1,18.0,22.0,10.0,7,12,1,2015,1,1
36,2020,1,1,2015-02-06,0,2,0,7,1,2,0,1.0,4.0,11.0,2,18,1,2015,2,6
37,1999,0,3,2015-02-07,1,0,0,6,3,3,1,3.0,1.0,4.0,1,1,1,2015,2,7
38,2022,6,2,2015-02-08,0,2,0,5,2,1,0,4.0,38.0,7.0,2,31,1,2015,2,8
39,2009,4,3,2015-02-09,3,1,0,9,3,1,2,13.0,24.0,17.0,4,10,1,2015,2,9
40,2009,3,4,2015-02-10,1,1,1,9,2,0,1,6.0,39.0,16.0,5,36,1,2015,2,10
41,2011,3,7,2015-02-11,3,2,0,9,3,1,2,14.0,22.0,13.0,1,48,1,2015,2,11
42,2006,0,3,2015-02-12,3,2,0,7,4,5,1,5.0,27.0,14.0,4,10,1,2015,2,12
43,2024,5,0,2015-02-13,2,0,0,5,4,4,2,16.0,22.0,15.0,6,22,1,2015,2,13
44,1997,2,5,2015-02-14,4,3,1,5,4,0,1,15.0,37.0,7.0,5,32,1,2015,2,14
45,2008,7,2,2015-02-15,3,0,0,6,1,2,1,15.0,3.0,18.0,7,12,1,2015,2,15
46,2017,5,1,2015-02-16,0,1,1,5,4,4,1,4.0,12.0,1.0,3,43,1,2015,2,16
47,2012,0,1,2015-01-01,0,0,1,6,2,1,1,8.0,12.0,2.0,7,12,1,2015,1,1
48,2009,3,6,2015-02-18,4,2,1,9,4,5,1,16.0,30.0,7.0,0,13,1,2015,2,18
49,1998,3,4,2015-02-19,0,1,1,5,3,3,1,16.0,3.0,12.0,3,28,1,2015,2,19
50,2024,2,1,2015-02-20,3,1,0,8,0,3,1,4.0,32.0,17.0,8,29,1,2015,2,20
51,1995,5,2,2015-02-21,3,1,0,9,4,3,1,13.0,23.0,12.0,6,22,1,2015,2,21
52,2007,0,3,2015-02-22,2,1,0,5,2,0,1,13.0,16.0,12.0,7,40,1,2015,2,22
53,2004,3,0,2015-02-23,4,2,0,9,0,3,2,2.0,14.0,2.0,4,20,1,2015,2,23
54,2014,7,5,2015-02-24,2,0,1,9,1,0,0,3.0,9.0,7.0,5,5,1,2015,2,24
55,2010,0,2,2015-02-25,3,2,0,6,3,0,1,8.0,8.0,8.0,5,36,1,2015,2,25
56,2015,1,2,2015-02-26,2,1,0,6,1,1,0,15.0,5.0,14.0,4,19,1,2015,2,26
57,2000,0,7,2015-02-27,4,3,0,8,4,0,1,11.0,18.0,3.0,3,28,1,2015,2,27
58,2015,7,5,2015-02-28,2,2,1,6,1,5,1,9.0,39.0,14.0,6,46,1,2015,2,28
59,1998,2,5,2015-03-01,2,2,1,7,3,2,2,7.0,17.0,13.0,1,9,1,2015,3,1
60,2016,0,3,2015-03-02,3,1,0,8,0,1,2,13.0,28.0,12.0,1,48,1,2015,3,2
61,2008,1,1,2015-03-03,4,3,1,8,3,5,0,2.0,27.0,2.0,7,40,1,2015,3,3
62,2002,3,4,2015-03-04,1,3,1,5,4,4,2,8.0,31.0,8.0,5,38,1,2015,3,4
63,2021,7,7,2015-03-05,1,1,0,8,1,5,2,7.0,10.0,18.0,0,8,1,2015,3,5
64,2000,7,4,2015-03-06,1,2,0,7,0,1,0,12.0,29.0,0.0,1,9,1,2015,3,6
65,2012,7,5,2015-03-07,1,2,1,9,1,0,2,19.0,10.0,13.0,4,47,1,2015,3,7
66,2016,2,3,2015-03-08,0,0,0,8,2,2,1,7.0,2.0,9.0,2,7,1,2015,3,8
67,2005,5,5,2015-03-09,0,0,1,6,3,1,0,10.0,4.0,9.0,4,20,1,2015,3,9
68,2005,3,3,2015-03-10,0,2,0,9,3,3,0,16.0,9.0,19.0,9,4,1,2015,3,10
69,2005,4,2,2015-03-11,0,1,1,7,0,2,1,3.0,25.0,18.0,2,6,1,2015,3,11
70,1998,1,4,2015-03-12,4,3,0,6,4,2,2,10.0,17.0,5.0,2,7,1,2015,3,12
71,2008,4,7,2015-03-13,1,1,1,7,3,0,0,11.0,15.0,17.0,1,39,1,2015,3,13
72,2010,6,0,2015-03-14,4,0,1,9,1,4,0,18.0,18.0,9.0,2,7,1,2015,3,14
73,2000,4,7,2015-01-01,2,3,0,7,0,3,1,18.0,37.0,18.0,8,29,1,2015,1,1
74,2011,3,6,2015-03-16,0,1,0,5,3,1,1,11.0,28.0,10.0,7,11,1,2015,3,16
75,2012,1,0,2015-03-17,2,2,1,5,3,4,2,7.0,34.0,11.0,9,14,1,2015,3,17
76,2023,0,6,2015-03-18,0,1,1,9,3,5,0,2.0,37.0,12.0,1,48,1,2015,3,18
77,2000,7,5,2015-03-19,1,1,0,6,2,5,2,11.0,28.0,3.0,1,1,1,2015,3,19
78,2003,4,4,2015-03-20,4,1,0,5,4,5,2,13.0,12.0,8.0,9,17,1,2015,3,20
79,2006,1,3,2015-03-21,0,3,0,7,2,3,1,5.0,12.0,16.0,7,40,1,2015,3,21
80,2009,4,4,2015-03-22,2,1,1,9,2,3,0,6.0,25.0,2.0,8,3,1,2015,3,22
81,1996,1,5,2015-03-23,3,1,0,7,1,3,0,14.0,15.0,8.0,8,0,1,2015,3,23
82,2004,4,7,2015-03-24,2,1,1,6,3,5,0,12.0,39.0,14.0,5,5,1,2015,3,24
83,2016,3,5,2015-03-25,4,1,1,7,4,1,1,4.0,3.0,4.0,7,12,1,2015,3,25
84,2023,3,6,2015-03-26,4,1,0,5,4,1,1,6.0,5.0,12.0,0,8,1,2015,3,26
85,2003,0,3,2015-03-27,1,0,0,9,0,3,1,10.0,18.0,16.0,9,41,1,2015,3,27
86,2017,0,7,2015-03-28,2,1,1,9,1,2,1,18.0,18.0,19.0,3,28,1,2015,3,28
87,2004,7,0,2015-03-29,3,1,1,7,3,3,1,15.0,32.0,14.0,7,45,1,2015,3,29
88,2015,0,1,2015-03-30,4,3,1,9,0,1,0,8.0,15.0,7.0,0,37,1,2015,3,30
89,2021,4,5,2015-03-31,4,1,0,6,0,3,2,9.0,29.0,2.0,9,4,1,2015,3,31
90,1999,5,6,2015-01-01,1,2,0,5,4,3,0,5.0,23.0,10.0,5,35,1,2015,1,1
91,2022,4,5,2015-04-02,2,3,1,9,0,3,2,10.0,8.0,11.0,1,9,1,2015,4,2
92,2010,0,4,2015-04-03,4,0,1,7,1,0,1,6.0,35.0,3.0,5,5,1,2015,4,3
93,2009,0,3,2015-04-04,2,1,1,6,3,2,2,16.0,29.0,13.0,4,20,1,2015,4,4
94,2022,3,3,2015-04-05,3,0,1,9,4,1,0,11.0,28.0,7.0,3,24,1,2015,4,5
95,2022,4,7,2015-04-06,3,0,1,7,4,4,0,10.0,12.0,13.0,6,22,1,2015,4,6
96,2009,6,2,2015-04-07,0,0,0,8,1,1,2,11.0,19.0,16.0,2,7,1,2015,4,7
97,2008,5,0,2015-04-08,2,1,0,6,0,3,1,11.0,18.0,18.0,2,18,1,2015,4,8
98,2010,7,5,2015-04-09,0,1,1,6,1,1,1,17.0,8.0,2.0,7,30,1,2015,4,9
99,2019,1,1,2015-04-10,2,0,1,9,4,2,0,4.0,22.0,8.0,3,24,1,2015,4,10
100,2002,6,7,2015-04-11,1,0,0,9,0,4,2,4.0,7.0,7.0,3,44,1,2015,4,11
101,2001,5,2,2015-04-12,3,2,1,7,3,5,1,17.0,39.0,4.0,6,2,1,2015,4,12
102,2023,4,4,2015-04-13,1,0,0,5,1,0,1,9.0,39.0,4.0,8,3,1,2015,4,13
103,2009,1,2,2015-04-14,4,3,1,6,0,2,0,19.0,25.0,6.0,1,48,1,2015,4,14
104,2016,3,5,2015-04-15,0,2,1,9,2,3,1,5.0,39.0,18.0,0,13,1,2015,4,15
105,2011,0,6,2015-04-16,2,3,0,8,2,4,2,6.0,27.0,17.0,5,32,1,2015,4,16
106,2008,7,6,2015-04-17,3,2,0,5,2,2,0,3.0,3.0,2.0,1,9,1,2015,4,17
107,1999,5,0,2015-04-18,3,0,1,9,4,1,0,1.0,4.0,5.0,2,6,-1,2015,4,18
108,2006,0,6,2015-04-19,0,1,0,7,1,0,2,16.0,35.0,3.0,0,15,1,2015,4,19
109,2004,4,7,2015-04-20,0,3,1,9,0,1,0,11.0,3.0,7.0,1,42,1,2015,4,20
110,2007,0,2,2015-04-21,0,0,1,8,1,0,1,13.0,33.0,2.0,3,28,1,2015,4,21
111,2007,5,4,2015-04-22,3,0,0,9,4,3,1,10.0,32.0,9.0,8,29,1,2015,4,22
112,2019,1,4,2015-04-23,1,2,0,8,4,4,2,3.0,22.0,4.0,0,8,1,2015,4,23
113,2020,0,0,2015-04-24,2,1,1,5,0,1,1,9.0,22.0,15.0,1,9,1,2015,4,24
114,2014,4,4,2015-04-25,1,1,0,8,3,2,2,12.0,2.0,4.0,4,19,1,2015,4,25
115,2017,4,7,2015-04-26,4,0,1,8,1,4,2,11.0,10.0,8.0,7,45,1,2015,4,26
116,2019,6,6,2015-04-27,4,0,1,6,4,0,1,1.0,12.0,12.0,8,49,1,2015,4,27
117,2014,6,5,2015-04-28,1,2,1,5,3,5,2,18.0,11.0,9.0,0,8,1,2015,4,28
118,1995,7,3,2015-04-29,2,0,1,8,1,3,1,17.0,24.0,9.0,9,14,1,2015,4,29
119,2015,1,6,2015-04-30,4,0,0,9,3,1,0,9.0,37.0,18.0,8,0,1,2015,4,30
120,2017,1,0,2015-01-01,4,3,0,9,1,1,0,9.0,27.0,10.0,1,48,1,2015,1,1
121,2013,1,0,2015-05-02,3,2,1,6,3,4,1,10.0,25.0,18.0,7,11,1,2015,5,2
122,2004,0,0,2015-05-03,4,2,1,9,1,1,1,19.0,22.0,4.0,2,6,1,2015,5,3
123,2004,2,0,2015-05-04,0,0,0,9,0,3,1,15.0,5.0,5.0,6,21,1,2015,5,4
124,2018,2,2,2015-05-05,3,1,1,9,3,1,0,5.0,38.0,9.0,2,18,1,2015,5,5
125,2002,5,5,2015-05-06,3,0,1,5,4,1,0,11.0,36.0,9.0,8,23,1,2015,5,6
126,1997,4,0,2015-05-07,4,0,0,8,0,4,1,2.0,19.0,4.0,9,4,1,2015,5,7
127,2023,2,6,2015-05-08,0,2,1,8,1,3,2,13.0,31.0,4.0,2,6,1,2015,5,8
128,1995,3,4,2015-05-09,4,0,1,6,1,5,0,16.0,8.0,13.0,9,14,1,2015,5,9
129,2017,4,5,2015-05-10,4,0,0,9,0,4,2,11.0,9.0,16.0,8,3,1,2015,5,10
130,2005,0,6,2015-05-11,1,3,0,5,0,2,2,10.0,13.0,4.0,2,31,1,2015,5,11
131,1995,4,3,2015-05-12,1,0,0,9,2,0,0,14.0,24.0,13.0,2,7,1,2015,5,12
132,2006,1,3,2015-05-13,3,1,1,8,4,5,2,10.0,29.0,19.0,5,36,1,2015,5,13
133,2021,4,4,2015-05-14,2,1,0,6,1,3,2,14.0,28.0,8.0,1,39,1,2015,5,14
134,2019,0,5,2015-05-15,2,3,1,9,0,4,1,9.0,32.0,5.0,9,25,1,2015,5,15
135,1997,5,0,2015-05-16,1,3,1,7,2,1,2,14.0,17.0,16.0,3,26,1,2015,5,16
136,2004,7,6,2015-05-17,4,2,1,9,3,4,1,3.0,4.0,11.0,1,39,1,2015,5,17
137,2006,2,2,2015-05-18,3,2,1,5,1,5,0,11.0,26.0,2.0,1,39,1,2015,5,18
138,2024,2,5,2015-05-19,3,3,1,5,3,3,1,2.0,27.0,4.0,1,9,1,2015,5,19
139,2004,3,4,2015-05-20,4,1,1,5,1,3,1,10.0,24.0,15.0,3,43,1,2015,5,20
140,2017,5,0,2015-05-21,2,3,1,6,0,1,0,3.0,28.0,2.0,5,35,1,2015,5,21
141,2023,0,1,2015-05-22,1,3,1,9,2,1,2,11.0,14.0,16.0,1,39,1,2015,5,22
142,2013,5,1,2015-05-23,0,1,0,8,4,0,2,11.0,17.0,17.0,3,28,1,2015,5,23
143,2006,5,0,2015-05-24,0,2,1,9,0,1,2,13.0,16.0,3.0,4,47,1,2015,5,24
144,2017,2,1,2015-05-25,4,2,1,9,3,0,0,7.0,2.0,0.0,3,43,1,2015,5,25
145,2003,4,2,2015-05-26,3,0,0,6,4,0,1,17.0,26.0,8.0,8,23,1,2015,5,26
146,1997,3,3,2015-05-27,2,0,1,7,1,1,0,2.0,22.0,2.0,8,49,1,2015,5,27
147,2024,6,4,2015-05-28,3,2,0,7,3,4,2,12.0,32.0,11.0,3,43,1,2015,5,28
148,2005,0,4,2015-05-29,4,1,0,5,4,0,1,10.0,22.0,11.0,7,30,1,2015,5,29
149,1997,3,7,2015-05-30,3,3,1,9,0,4,0,18.0,33.0,17.0,8,23,1,2015,5,30
150,2019,4,3,2015-05-31,0,2,1,5,3,3,0,11.0,31.0,15.0,6,2,1,2015,5,31
151,2023,7,0,2015-06-01,3,0,0,5,2,5,2,16.0,20.0,14.0,4,16,1,2015,6,1
152,2014,6,5,2015-06-02,2,3,0,5,1,4,0,17.0,32.0,9.0,5,32,1,2015,6,2
153,2009,7,7,2015-06-03,4,2,0,6,2,2,0,19.0,14.0,8.0,6,27,1,2015,6,3
154,2012,2,1,2015-06-04,4,1,0,5,2,0,1,18.0,26.0,15.0,7,12,1,2015,6,4
155,2006,5,2,2015-06-05,4,3,1,8,0,5,1,3.0,4.0,6.0,5,38,1,2015,6,5
156,2010,3,6,2015-06-06,3,2,0,7,2,3,2,16.0,30.0,18.0,5,36,1,2015,6,6
157,2015,7,3,2015-06-07,3,3,0,6,2,2,1,6.0,36.0,0.0,8,3,1,2015,6,7
158,2022,5,7,2015-06-08,1,1,1,8,0,0,2,12.0,5.0,2.0,9,25,1,2015,6,8
159,2013,6,0,2015-06-09,1,3,0,9,2,5,2,11.0,28.0,16.0,8,29,1,2015,6,9
160,1996,7,7,2015-06-10,1,1,0,6,1,2,2,15.0,18.0,10.0,2,18,1,2015,6,10
161,2000,7,3,2015-06-11,0,0,1,7,0,3,0,15.0,6.0,0.0,5,36,-1,2015,6,11
162,2016,7,6,2015-06-12,1,0,1,6,3,2,1,16.0,18.0,14.0,0,33,1,2015,6,12
163,2024,1,3,2015-06-13,4,0,0,5,1,5,2,10.0,8.0,5.0,5,35,1,2015,6,13
164,2020,0,2,2015-06-14,0,0,1,8,1,3,1,12.0,31.0,18.0,2,6,1,2015,6,14
165,2012,2,0,2015-06-15,4,0,0,5,3,3,2,13.0,5.0,15.0,7,12,1,2015,6,15
166,2000,0,4,2015-06-16,3,2,0,8,2,3,1,4.0,33.0,14.0,1,42,1,2015,6,16
167,2003,3,7,2015-06-17,3,0,1,5,4,2,1,7.0,21.0,13.0,3,28,1,2015,6,17
168,1999,5,6,2015-06-18,0,1,1,6,4,4,2,2.0,22.0,3.0,9,17,1,2015,6,18
169,2009,7,2,2015-06-19,1,1,0,8,3,1,0,15.0,24.0,7.0,7,12,1,2015,6,19
170,2004,2,1,2015-06-20,4,2,0,6,3,1,1,8.0,10.0,10.0,0,15,1,2015,6,20
171,2004,3,7,2015-06-21,4,1,0,8,2,4,0,11.0,19.0,14.0,8,23,1,2015,6,21
172,2009,4,1,2015-06-22,0,2,1,8,4,1,0,15.0,25.0,18.0,0,8,1,2015,6,22
173,2013,1,7,2015-06-23,4,0,0,7,1,5,2,14.0,27.0,10.0,7,12,1,2015,6,23
174,1996,7,3,2015-06-24,4,2,1,9,0,2,2,8.0,25.0,5.0,5,38,1,2015,6,24
175,2001,5,2,2015-06-25,0,0,0,9,2,4,2,12.0,39.0,9.0,4,47,1,2015,6,25
176,2011,3,1,2015-06-26,3,2,0,7,2,2,1,13.0,22.0,4.0,7,30,1,2015,6,26
177,2012,6,0,2015-06-27,3,2,0,7,2,1,2,11.0,39.0,7.0,8,3,1,2015,6,27
178,2015,3,1,2015-06-28,3,3,1,5,4,5,2,17.0,8.0,9.0,5,5,1,2015,6,28
179,2024,1,5,2015-06-29,0,2,1,7,4,3,1,17.0,17.0,8.0,3,28,1,2015,6,29
180,1998,3,2,2015-06-30,3,0,1,8,3,1,1,4.0,10.0,9.0,9,41,1,2015,6,30
181,1995,2,0,2015-07-01,4,1,1,8,1,5,2,8.0,37.0,10.0,6,21,1,2015,7,1
182,2013,1,2,2015-07-02,1,2,0,5,2,2,2,5.0,25.0,2.0,4,19,1,2015,7,2
183,1997,2,2,2015-07-03,2,0,1,5,2,5,2,16.0,15.0,13.0,5,38,1,2015,7,3
184,2019,3,6,2015-07-04,2,1,1,6,2,5,1,4.0,23.0,15.0,0,33,1,2015,7,4
185,2013,2,1,2015-07-05,4,1,1,8,2,3,0,15.0,27.0,8.0,0,15,1,2015,7,5
186,2022,3,0,2015-07-06,1,3,0,6,3,1,0,12.0,14.0,2.0,9,4,1,2015,7,6
187,2019,0,2,2015-07-07,2,3,0,6,2,1,2,5.0,5.0,8.0,5,35,1,2015,7,7
188,2013,7,2,2015-07-08,2,1,0,9,1,0,0,16.0,1.0,0.0,4,20,1,2015,7,8
189,1998,4,5,2015-07-09,3,2,1,7,4,5,1,14.0,37.0,15.0,5,36,1,2015,7,9
190,2010,7,6,2015-07-10,1,3,0,7,3,2,0,10.0,13.0,0.0,9,41,1,2015,7,10
191,1999,2,3,2015-07-11,3,3,0,8,0,5,0,7.0,20.0,8.0,2,18,1,2015,7,11
192,2013,7,1,2015-07-12,3,1,0,6,2,2,1,13.0,38.0,18.0,4,19,1,2015,7,12
193,2013,0,0,2015-07-13,4,3,1,5,1,0,0,5.0,4.0,0.0,8,3,1,2015,7,13
194,2017,3,5,2015-07-14,3,0,1,8,2,0,0,3.0,18.0,3.0,5,35,1,2015,7,14
195,1996,1,1,2015-07-15,2,1,1,7,3,2,0,15.0,23.0,9.0,0,37,1,2015,7,15
196,2004,1,3,2015-07-16,1,3,0,8,3,1,0,4.0,29.0,0.0,5,35,1,2015,7,16
197,1996,2,4,2015-07-17,4,3,0,9,3,1,1,15.0,10.0,2.0,2,7,1,2015,7,17
198,2023,6,5,2015-07-18,4,1,0,5,2,5,2,14.0,21.0,0.0,5,38,1,2015,7,18
199,2023,3,2,2015-07-19,1,2,1,8,0,4,2,19.0,1.0,11.0,2,34,-1,2015,7,19
